"","councilnumber","year","logSgwaPercap","treat","first_treat","cohort"
"624",40,2004,5.29540872573853,0,2010,3
"625",40,2005,5.37459373474121,0,2010,3
"626",40,2006,6.44190359115601,0,2010,3
"627",40,2007,6.50045394897461,0,2010,3
"628",40,2008,6.46944665908813,0,2010,3
"629",40,2009,6.51766777038574,0,2010,3
"630",40,2010,6.46963357925415,1,2010,3
"631",40,2011,6.63891220092773,1,2010,3
"632",40,2012,6.28861236572266,1,2010,3
"636",41,1995,0.683294832706451,0,NA,0
"637",41,1996,0.655851364135742,0,NA,0
"638",41,1997,0.523587882518768,0,NA,0
"639",42,1998,3.47145342826843,0,2010,3
"640",42,1999,3.52598977088928,0,2010,3
"641",42,2000,3.74228382110596,0,2010,3
"642",42,2001,4.2592191696167,0,2010,3
"643",42,2002,4.41167736053467,0,2010,3
"644",42,2003,4.45198822021484,0,2010,3
"645",42,2004,4.58220100402832,0,2010,3
"646",42,2005,4.84370899200439,0,2010,3
"647",42,2006,6.37162733078003,0,2010,3
"648",42,2007,6.49667596817017,0,2010,3
"649",42,2008,6.50572109222412,0,2010,3
"650",42,2009,6.49651575088501,0,2010,3
"651",42,2010,6.49580001831055,1,2010,3
"652",42,2011,6.65603637695312,1,2010,3
